Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price
1752907,EMERALD,0.4,VS2,E,VG,EX,VG,N,4.75,3.59,2.49,1204.73
1659577,ROUND,0.5,VS1,G,VG,EX,VG,ST,4.97,5.02,3.22,2197.8
1741648,ROUND,0.5,SI2,F,EX,EX,VG,N,5.06,5.11,3.16,2046.62
1621261,OVAL,0.59,VVS1,E,EX,VG,VG,N,6.44,4.66,2.92,2305.73
210587-62,PEAR,1.5,VS1,F,EX,EX,VG,ST,10.49,6.13,3.8,15861.09
1633467,ROUND,0.5,SI1,F,EX,EX,VG,M,5.06,5.1,3.15,2033.3
1660156,CUSHION,0.9,VS1,G,EX,EX,VG,ST,5.5,5.31,3.6,4007.99
1792928,ROUND,0.3,VS1,F,EX,EX,EX,N,4.37,4.39,2.63,1212.1
1662869,ROUND,0.5,SI1,K,VG,EX,VG,N,4.97,5.01,3.17,1328.87
1775276,HEART,0.41,VS2,I,VG,EX,VG,N,4.37,5.22,3.14,1055.84
1777722,PRINCESS,0.5,SI1,G,VG,VG,GD,N,4.44,4.32,3.12,1462.86
1789177,OVAL,0.5,VS2,E,EX,EX,VG,N,6.22,4.4,2.73,1960.6
1784051,PRINCESS,0.8,VS2,M,VG,EX,GD,N,4.99,4.88,3.63,1702.24
1666187,PEAR,0.7,SI1,E,EX,EX,VG,N,8.19,4.88,2.95,2957.87
200763-184,CUSHION,2.2,VS1,D,EX,EX,EX,F,8.29,7.19,4.79,30427.92
1630138,PRINCESS,0.5,SI1,J,EX,VG,GD,F,4.36,4.3,3.05,1094.53
1785654,PRINCESS,0.51,VVS2,G,VG,EX,VG,N,4.16,4.16,3.07,1880.89
211147-211,PEAR,1.0,SI1,D,VG,EX,VG,F,8.6,5.53,3.51,6518.33
1662435,ROUND,0.73,SI1,L,EX,EX,EX,M,5.82,5.84,3.52,2071.31
1793113,EMERALD,0.31,VS1,D,EX,EX,VG,F,4.39,3.23,2.21,1012.78
1765047,HEART,0.46,SI2,I,VG,VG,VG,N,4.89,5.17,2.85,1039.25
1790108,OVAL,0.36,I2,FANCY,EX,VG,FR,F,5.04,3.77,2.59,922.67
200672-1235,PEAR,1.71,I1,F,EX,EX,VG,N,11.16,6.58,3.94,9527.47
1662919,ROUND,0.52,SI2,G,EX,EX,EX,N,5.16,5.19,3.2,2095.41
1667163,CUSHION,0.5,VS2,G,VG,EX,VG,N,4.84,4.19,2.92,1555.32
1760726,OVAL,0.5,VS2,E,EX,VG,VG,F,6.55,4.33,2.68,1730.63
1660455,OVAL,0.5,SI1,J,EX,VG,VG,N,6.31,4.49,2.8,1147.23
1656565,OVAL,0.8,SI2,M,VG,EX,GD,N,7.31,5.16,3.21,1110.81
1667881,ROUND,0.5,SI1,D,EX,EX,EX,M,5.09,5.12,3.13,2304.07
1652264,ROUND,0.5,VS2,G,GD,EX,GD,M,5.1,5.15,3.04,1990.23
1672027,PRINCESS,0.5,VS1,K,EX,EX,VG,F,4.35,4.29,3.1,1259.58
1795950,MARQUISE,0.38,SI1,D,EX,VG,GD,F,8.26,3.77,2.18,1012.36
1553648,CUSHION,0.9,SI2,H,VG,EX,VG,F,5.6,5.2,3.53,2611.79
200695-126,CUSHION,1.21,SI1,S-T,EX,EX,VG,N,5.96,5.92,4.01,1782.88
1649108,OVAL,0.59,VS1,G,EX,EX,VG,N,7.06,4.62,2.79,2132.05
1789274,PRINCESS,0.52,VS2,E,EX,EX,VG,N,4.41,4.36,3.17,1889.32
1748029,OVAL,0.4,VS1,E,VG,EX,VG,N,5.85,4.12,2.56,1303.38
1789208,PEAR,0.5,VS1,F,VG,VG,VG,N,7.01,4.49,2.67,2111.79
1785719,PRINCESS,0.51,SI2,G,EX,EX,EX,N,4.48,4.44,3.22,1440.44
1799563,ROUND,0.3,SI1,I,EX,EX,VG,N,4.27,4.3,2.67,974.3
1782354,ROUND,0.5,VS2,G,GD,VG,GD,N,4.91,4.97,3.18,2105.01
1745431,ROUND,0.73,SI1,K,EX,EX,EX,N,5.72,5.74,3.58,2324.26
1799810,EMERALD,0.3,VVS2,D,VG,VG,GD,N,4.71,3.01,2.02,1027.1
200713-50,CUSHION,1.2,VS1,W-X,EX,EX,VG,M,6.58,5.57,3.61,2928.0
1624912,CUSHION,0.9,SI1,E,EX,EX,VG,N,5.5,5.42,3.66,3915.77
1765881,PRINCESS,0.5,VS1,H,VG,EX,GD,N,4.25,4.21,3.13,1587.05
1646233,OVAL,0.59,SI2,G,EX,VG,VG,N,7.27,4.58,2.81,1619.99
1789382,ROUND,0.75,SI2,J,VG,EX,VG,F,5.65,5.72,3.65,2348.26
1771333,HEART,0.3,VS1,G,VG,EX,GD,N,3.96,4.63,2.76,1020.96
1799440,ROUND,0.3,VS1,G,VG,VG,GD,N,4.25,4.3,2.58,1081.85
1648829,CUSHION,0.75,SI1,F,EX,EX,VG,N,5.15,5.02,3.41,2359.81
1798678,HEART,0.3,VVS2,E,GD,VG,GD,N,4.2,4.6,2.72,1023.97
1734157,ROUND,0.5,SI2,E,EX,EX,EX,N,5.06,5.08,3.18,2063.52
1654061,CUSHION,0.7,SI1,L,EX,EX,VG,N,5.31,4.83,3.27,1303.27
200753-97,CUSHION,1.5,SI2,W-X,VG,VG,GD,M,6.69,5.96,4.16,2435.5
1774837,ROUND,0.56,VS2,J,EX,EX,EX,F,5.26,5.3,3.31,2046.29
1778614,MARQUISE,0.3,VS2,D,EX,EX,VG,N,6.68,3.7,2.22,1011.84
1798883,PRINCESS,0.31,VS1,F,EX,EX,VG,N,3.73,3.7,2.6,1013.39
1581582,CUSHION,0.86,VS2,E,EX,EX,VG,F,5.67,5.26,3.51,3514.76
1800375,PRINCESS,0.3,VS1,F,EX,EX,VG,N,3.82,3.77,2.52,973.36
